link,distance,price,date
https://www.vrbo.com/2818226?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833736&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=108&top_cur=USD&userIntent=&selectedRoomType=78442254&selectedRatePlan=00040de12293602543638bcaba54a768170c&expediaPropertyId=78442254,0.81,108,2024-12-7
https://www.vrbo.com/2818230?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833759&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=359&top_cur=USD&userIntent=&selectedRoomType=78442330&selectedRatePlan=00040b9ec10d2f1f4b62983a4c29659039f7&expediaPropertyId=78442330,0.81,359,2024-12-7
https://www.vrbo.com/2818232?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833758&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=480&top_cur=USD&userIntent=&selectedRoomType=78442373&selectedRatePlan=00043cca7c5177564f1faf9952c8edcff9b6&expediaPropertyId=78442373,0.81,480,2024-12-7
https://www.vrbo.com/2759049?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833758&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=359&top_cur=USD&userIntent=&selectedRoomType=77093078&selectedRatePlan=0004f071614cc5464c01a51dbfda5890b9f7&expediaPropertyId=77093078,0.81,359,2024-12-7
https://www.vrbo.com/2818231?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833758&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=359&top_cur=USD&userIntent=&selectedRoomType=78442350&selectedRatePlan=00045515abbf0bda4614a68941f6d7c77fa0&expediaPropertyId=78442350,0.81,359,2024-12-7
https://www.vrbo.com/2759052?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833756&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=480&top_cur=USD&userIntent=&selectedRoomType=77093090&selectedRatePlan=00043b12892108fa4249a013109da5575db3&expediaPropertyId=77093090,0.81,480,2024-12-7
https://www.vrbo.com/2818234?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833756&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=480&top_cur=USD&userIntent=&selectedRoomType=78442397&selectedRatePlan=0004cfab24d729464bd39a1e8ccbd788f432&expediaPropertyId=78442397,0.81,480,2024-12-7
https://www.vrbo.com/2759044?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833755&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=240&top_cur=USD&userIntent=&selectedRoomType=77093065&selectedRatePlan=0004d84140a044e342aab214c326d8de3360&expediaPropertyId=77093065,0.81,240,2024-12-7
https://www.vrbo.com/2818228?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833755&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=240&top_cur=USD&userIntent=&selectedRoomType=78442293&selectedRatePlan=0004f93a6fd361bb40de843212890f34e4d4&expediaPropertyId=78442293,0.81,240,2024-12-7
https://www.vrbo.com/2818229?chkin=2024-12-07&chkout=2024-12-08&d1=2024-12-07&d2=2024-12-08&startDate=2024-12-07&endDate=2024-12-08&x_pwa=1&rfrr=HSR&pwa_ts=1702112833755&referrerUrl=aHR0cHM6Ly93d3cudnJiby5jb20vSG90ZWwtU2VhcmNo&useRewards=true&adults=2&destination=73+W+Monroe+St%2C+Chicago%2C+IL+60603%2C+USA&destType=ADDRESS&neighborhoodId=6350699&latLong=41.8804017%2C-87.63020379999999&privacyTrackingState=CAN_TRACK&searchId=078fb7bd-120d-41fe-ade0-a9b86c6d66d2&sort=RECOMMENDED&top_dp=240&top_cur=USD&userIntent=&selectedRoomType=78442312&selectedRatePlan=0004f6f02f6db0bc4f35aa8978ae2b349347&expediaPropertyId=78442312,0.81,240,2024-12-7
